iShares Canadian Short Term Bond Index ETF
Inception Date,"Nov 20, 2000"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$2,136,492,505"
Shares Outstanding,"74,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"BANK OF NOVA SCOTIA","064149S24","B96W819","0.27","$5,663,865","Canada","Financial","2.24","Mar 22, 2018","2.54","102.14","FI","CAD","CAD","1.00","2.53","1.41","-","1.41","5,663,864.79"
"ROYAL BANK OF CANADA","780086GH1","BH6XDR9","0.26","$5,540,386","Canada","Financial","2.77","Dec 11, 2018","3.20","104.11","FI","CAD","CAD","1.00","3.19","1.51","-","1.51","5,540,386.39"
"TORONTO-DOMINION BANK/THE","891145A95","BD1NQZ5","0.26","$5,508,674","Canada","Financial","2.43","Aug 15, 2017","1.96","102.40","FI","CAD","CAD","1.00","1.95","1.23","-","1.23","5,508,673.72"
"FINANCEMENT QUEBEC MTN","31739ZAN5","B58PHQ6","0.25","$5,427,647","Canada","Provincial","3.50","Dec 1, 2016","1.29","103.74","FI","CAD","CAD","1.00","1.29","0.64","-","0.64","5,427,646.73"
"ROYAL BANK OF CANADA","780086JX3","BTDYKJ0","0.25","$5,333,301","Canada","Financial","2.35","Dec 9, 2019","4.13","102.99","FI","CAD","CAD","1.00","4.11","1.63","-","1.63","5,333,301.32"
"BRITISH COLUMBIA PROVINCE OF","11070TAE8","-","0.25","$5,276,791","Canada","Provincial","2.25","Mar 1, 2019","3.41","104.56","FI","CAD","CAD","1.00","3.41","0.95","-","0.95","5,276,790.53"
"TORONTO-DOMINION BANK","8911454A9","-","0.25","$5,234,172","Canada","Financial","1.69","Apr 2, 2020","4.46","100.07","FI","CAD","CAD","1.00","4.43","1.68","-","1.68","5,234,171.79"
"TORONTO-DOMINION BANK/THE","891145S47","-","0.24","$5,200,418","Canada","Financial","2.56","Jun 24, 2020","4.60","103.71","FI","CAD","CAD","1.00","4.57","1.77","-","1.77","5,200,417.97"
"INTERNATIONAL BANK FOR RECONSTRUCT","459058DR1","-","0.24","$5,199,221","Supranational","Federal","1.88","May 30, 2019","3.68","103.64","FI","CAD","CAD","1.00","3.67","0.90","-","0.90","5,199,221.15"
"BANK OF NOVA SCOTIA","064149Z59","-","0.24","$5,164,015","Canada","Financial","2.10","Nov 8, 2016","1.24","101.24","FI","CAD","CAD","1.00","1.23","1.10","-","1.10","5,164,015.36"
"BANK OF NOVA SCOTIA","0641497L5","-","0.24","$5,135,629","Canada","Financial","2.27","Jan 13, 2020","4.23","102.56","FI","CAD","CAD","1.00","4.21","1.67","-","1.67","5,135,628.61"
"GE CAPITAL CANADA FUNDING COMPANY MTN","36158ZBH8","B23Y5C9","0.24","$5,055,750","United States","Financial","5.53","Aug 17, 2017","1.90","108.54","FI","CAD","CAD","1.00","1.89","1.27","-","1.27","5,055,750.26"
"PROV OF NEW BRUNSWICK","642866GB7","B2R92V8","0.23","$4,987,855","Canada","Provincial","4.45","Mar 26, 2018","2.48","109.22","FI","CAD","CAD","1.00","2.48","0.90","-","0.90","4,987,854.76"
"BELL CANADA","07813ZBB9","B816H01","0.23","$4,986,521","Canada","Communication","3.35","Jun 18, 2019","3.64","105.65","FI","CAD","CAD","1.00","3.62","1.83","-","1.83","4,986,520.93"
"BANK OF NOVA SCOTIA","0641493J4","-","0.23","$4,906,747","Canada","Financial","2.46","Mar 14, 2019","3.43","103.42","FI","CAD","CAD","1.00","3.42","1.48","-","1.48","4,906,746.65"
"WELLS FARGO FINANCIAL CANADA CORPO MTN","94975ZBL9","B6ZG372","0.23","$4,873,257","Canada","Financial","2.77","Feb 9, 2017","1.47","102.33","FI","CAD","CAD","1.00","1.46","1.22","-","1.22","4,873,257.27"
"TORONTO-DOMINION BANK/THE","891145YM0","B76V2B0","0.23","$4,809,152","Canada","Financial","2.17","Apr 2, 2018","2.57","102.01","FI","CAD","CAD","1.00","2.56","1.40","-","1.40","4,809,151.62"
"BANK OF NOVA SCOTIA","064149Q75","B8GHPP0","0.22","$4,768,428","Canada","Financial","2.37","Jan 11, 2018","2.37","102.38","FI","CAD","CAD","1.00","2.36","1.37","-","1.37","4,768,428.24"
"HSBC BANK CANADA","40427HRV7","B4QM0Y1","0.22","$4,760,644","United Kingdom","Financial","3.56","Oct 4, 2017","2.07","104.58","FI","CAD","CAD","1.00","2.06","1.40","-","1.40","4,760,644.15"
"HSBC BANK CANADA","40427HSQ7","B905QD2","0.22","$4,732,678","Canada","Financial","2.94","Jan 14, 2020","4.18","104.99","FI","CAD","CAD","1.00","4.16","1.76","-","1.76","4,732,677.69"
"TD CAPITAL TRUST III RegS","87239BAA3","B3DCKQ9","0.22","$4,730,055","Canada","Financial","7.24","Dec 31, 2049","3.08","117.52","FI","CAD","CAD","1.00","16.10","4.45","-","1.90","4,730,055.24"
"MANULIFE FINANCIAL CAPITAL TRUST","56501XAA1","B3NG1D5","0.22","$4,686,001","Canada","Financial","7.41","Dec 31, 2108","3.87","122.57","FI","CAD","CAD","1.00","16.35","6.04","-","2.02","4,686,000.58"
"BANK OF NOVA SCOTIA","0641496N2","BT9Q2W7","0.22","$4,673,006","Canada","Financial","2.40","Oct 28, 2019","4.01","103.19","FI","CAD","CAD","1.00","3.99","1.62","-","1.62","4,673,006.20"
"NATIONAL BANK OF CANADA","633067ZK2","-","0.22","$4,672,814","Canada","Financial","2.40","Oct 28, 2019","4.01","103.18","FI","CAD","CAD","1.00","3.99","1.62","-","1.62","4,672,813.73"
"MASTER CREDIT A 144A","57634ZAA4","2B82Y67","0.22","$4,670,408","Canada","Securitized","2.72","Nov 21, 2018","3.15","104.14","FI","CAD","CAD","1.00","3.13","1.43","-","1.43","4,670,407.73"
"BANK OF NOVA SCOTIA","064149G76","B71LCP9","0.22","$4,668,902","Canada","Financial","2.74","Dec 1, 2016","1.30","102.12","FI","CAD","CAD","1.00","1.29","1.12","-","1.12","4,668,902.38"
"BANK OF NOVA SCOTIA","064149J24","B7D4NV9","0.22","$4,647,650","Canada","Financial","2.60","Feb 27, 2017","1.52","102.14","FI","CAD","CAD","1.00","1.51","1.21","-","1.21","4,647,649.78"
"NEW BRUNSWICK (PROVINCE OF)","642869AB7","B3VKYF2","0.22","$4,618,840","Canada","Provincial","4.50","Jun 2, 2020","4.38","114.67","FI","CAD","CAD","1.00","4.36","1.35","-","1.35","4,618,839.59"
"CDP FINANCIAL INC","125094AF9","B3KXF93","0.22","$4,612,063","Canada","Provincial","4.60","Jul 15, 2020","4.49","115.02","FI","CAD","CAD","1.00","4.47","1.44","-","1.44","4,612,063.04"
"BRIT COL MUNI FIN AUTH","626209JG6","B57NYQ0","0.21","$4,583,151","Canada","Municipal","4.88","Jun 3, 2019","3.52","113.72","FI","CAD","CAD","1.00","3.51","1.19","-","1.19","4,583,150.78"
"OMERS REALTY CORP Prvt","68214WAG3","-","0.21","$4,552,985","Canada","Provincial","2.50","Jun 5, 2018","2.74","103.29","FI","CAD","CAD","1.00","2.72","1.31","-","1.31","4,552,985.15"
"BANK OF MONTREAL","06367VCT0","BBGTPD5","0.21","$4,536,742","Canada","Financial","2.84","Jun 4, 2020","4.52","105.02","FI","CAD","CAD","1.00","4.49","1.75","-","1.75","4,536,741.78"
"NOVA SCOTIA (PROVINCE OF)","669827FV4","B514JC0","0.21","$4,529,519","Canada","Provincial","4.15","Nov 25, 2019","3.97","112.41","FI","CAD","CAD","1.00","3.95","1.18","-","1.18","4,529,518.68"
"VILLE DE MONTREAL","614853CC1","-","0.21","$4,523,828","Canada","Municipal","5.00","Dec 1, 2018","3.09","112.19","FI","CAD","CAD","1.00","3.07","1.24","-","1.24","4,523,828.14"
"NEW BRUNSWICK (PROVINCE OF)","6428668Z3","B4PY8V1","0.21","$4,518,682","Canada","Provincial","4.40","Jun 3, 2019","3.55","112.20","FI","CAD","CAD","1.00","3.54","1.13","-","1.13","4,518,682.23"
"NATIONAL BANK OF CANADA MTN","63306ZDM0","B7TWZ22","0.21","$4,466,421","Canada","Financial","3.26","Apr 11, 2022","1.63","102.82","FI","CAD","CAD","1.00","6.05","1.97","-","1.55","4,466,421.43"
"TELUS CORPORATION","87971MAK9","B73HL03","0.21","$4,447,034","Canada","Communication","5.05","Dec 4, 2019","3.93","113.15","FI","CAD","CAD","1.00","3.90","1.87","-","1.87","4,447,034.04"
"BELL CANADA MTN","07813ZBD5","-","0.20","$4,226,360","Canada","Communication","3.25","Jun 17, 2020","4.51","105.21","FI","CAD","CAD","1.00","4.48","2.12","-","2.12","4,226,359.90"
"ROYAL BANK OF CANADA","780086FX7","BFRB3V2","0.20","$4,210,408","Canada","Financial","2.89","Oct 11, 2018","3.03","104.33","FI","CAD","CAD","1.00","3.02","1.49","-","1.49","4,210,407.54"
"CAISSE CENTRALE DESJARDINS DU QUEB MTN","12801ZCJ5","-","0.20","$4,188,412","Canada","Financial","2.79","Nov 19, 2018","3.14","104.11","FI","CAD","CAD","1.00","3.12","1.51","-","1.51","4,188,412.21"
"HSBC BANK CANADA","40427HST1","BMMV264","0.19","$4,149,873","Canada","Financial","2.49","May 13, 2019","3.59","103.17","FI","CAD","CAD","1.00","3.58","1.62","-","1.62","4,149,872.76"
"GE CAPITAL CANADA FUNDING CO MTN","36158ZCA2","BBC3940","0.19","$4,138,169","Canada","Financial","2.42","May 31, 2018","2.72","103.01","FI","CAD","CAD","1.00","2.71","1.33","-","1.33","4,138,168.57"
"ONTARIO (PROVINCE OF) MTN","683234TQ1","B76L8P6","0.19","$4,095,749","Canada","Provincial","5.50","Jun 2, 2018","2.64","112.79","FI","CAD","CAD","1.00","2.63","0.90","-","0.90","4,095,749.31"
"BANK OF MONTREAL","06367VHF5","BDC7Y63","0.19","$4,054,612","Canada","Financial","3.21","Sep 13, 2018","2.94","105.42","FI","CAD","CAD","1.00","2.93","1.42","-","1.42","4,054,612.39"
"ALBERTA (PROVINCE OF)","013051DR5","-","0.19","$4,013,298","Canada","Provincial","1.25","Jun 1, 2020","4.67","100.11","FI","CAD","CAD","1.00","4.65","1.23","-","1.23","4,013,297.54"
"HSBC BANK CANADA","40427HSW4","BVGH0Q7","0.19","$3,994,006","Canada","Financial","1.82","Jul 7, 2020","4.70","99.70","FI","CAD","CAD","1.00","4.68","1.88","-","1.88","3,994,005.69"
